Record_ID,Project_Code,Project_Title,Lead_Author,Graduation_Year,Institution,Contact_Email,Start_Date,Duration_Months,Budget_USD,Category,Notes
REC-1015,PRJ-2026-1001,Analysis of Data Science,Patricia Taylor Garcia,1882,UC Berkeley,r.johnson@mit.edu,2016-03-12,36,-$141.00,Machine Learning,Na&iuml;ve Bayes test
REC-1016,PRJ-2026-1001,Study on Bioinformatics,Christina Taylor,2050,Univ of Illinois Urbana Champaign,contact@lab.org,2018-11-05,39,119665.58,Python,Caf&eacute; study group
REC-1017,PRJ-2026-1001,Analysis of GIS Mapping,Patricia Taylor Garcia,c. 2005,MIT,jdoe@illinois.edu,2099-12-31,9,FREE,Metadata,Na&iuml;ve Bayes test
REC-1018,prj-2026-1001,Comprehensive Digital Humanities Data Archival Research Project Phase 2,Dr. Smith,'15,U.N.L.V.,contact@lab.org,,38,"$91,129.18",Metadata,Phase 1 &amp; 2 complete
REC-1019,PRJ-2026-9900,Comprehensive Digital Humanities Data Archival Research Project Phase 1,Dr. Smith,2022,"Berkeley, University of California",contact@lab.org,2025-12-01,19,57308.32,Data Science,Notes on &quot;UIUC&quot;
REC-1020,prj-2026-1001,Study on GIS Mapping,Kristina Tailor,2015,"Urbana-Champaign, University of Illinois",smith@unlv.edu,2020-01-15,30,"$95,481.62",Metadata,Caf&eacute; study group
,,,,,,,,,,Data Science,Sub-tag record
,,,,,,,,,,Bioinformatics,Sub-tag record
,,,,,,,,,,Ethics,Sub-tag record
REC-1021,PRJ-2026-9900,Analysis of GIS Mapping,Robert Jhnson,2018,U.N.L.V.,smith@unlv.edu,2018-11-05,29,FREE,Cataloging,Cost &lt; Budget
REC-1022,PRJ-2026-9900,Analysis of Data Science,Michael O'Brown,c. 2005,UIUC,a.wright@berkeley.edu,2023-09-30,9,"$23,828.63",Cataloging,Notes on &quot;UIUC&quot;
REC-1023,PRJ-26-1001,Analysis of Cataloging,Robert Jhnson,2015,"University of Nevada, Las Vegas",a.wright@berkeley.edu,2023-09-30,20,-$304.00,Ethics,Phase 1 &amp; 2 complete
REC-1024,PRJ-2026-1001,Comprehensive Digital Humanities Data Archival Research Project Phase 1,Dr. Smith,2005,Univ of Nevada Las Vegas,r.johnson@mit.edu,2018-11-05,23,-$159.00,Cataloging,Na&iuml;ve Bayes test
REC-1025,PRJ-2026-9900,National Science Foundation Geospatial Analysis Infrastructure Program,Dr. Smith,,University of Illinois at Urbana-Champaign,contact@lab.org,2025-12-01,45,-$260.00,Machine Learning,Caf&eacute; study group
REC-1026,PRJ-2026-8819,National Science Foundation Geospatial Analysis Infrastructure Program,Dr. Johnson,c2020,UNLV,contact@lab.org,2021-07-22,27,FREE,GIS Mapping,Caf&eacute; study group
REC-1027,PRJ-26-1001,Investigation into Data Science and Modern Data Pipelines,A. PROF. WILSON,1998,"Las Vegas, University of Nevada",contact@lab.org,2099-12-31,16,FREE,GIS Mapping,Caf&eacute; study group
REC-1028,PRJ-2026-1001,Comprehensive Digital Humanities Data Archival Research Project Phase 2,Dr. Smith,2012,"Las Vegas, University of Nevada",smith@unlv.edu,2016-03-12,42,"$170,066.95",Cataloging,Notes on &quot;UIUC&quot;
REC-1029,INVALID_CODE,Proj A,m. davis,2015,Univ. of Illinois (UIUC),jdoe@illinois.edu,2021-07-22,47,"$143,532.04",Machine Learning,Notes on &quot;UIUC&quot;
REC-1030,PRJ20261001,Investigation into Archival Studies and Modern Data Pipelines,Jane Smith,,MIT,contact@lab.org,2020-01-15,18,72352.6,Ethics,Caf&eacute; study group
REC-1031,PRJ-26-1001,Investigation into GIS Mapping and Modern Data Pipelines,Jane Smith,'15,university of illinois at urbana-champaign,r.johnson@mit.edu,,17,FREE,Machine Learning,Phase 1 &amp; 2 complete
REC-1032,INVALID_CODE,Investigation into Python and Modern Data Pipelines,m. davis,2018,"Technology, Massachusetts Institute of",a.wright@berkeley.edu,2016-03-12,3,12984.67,Bioinformatics,Na&iuml;ve Bayes test
REC-1033,PRJ-2026-8819,Analysis of Bioinformatics,Robert Jhnson,2015,M.I.T.,a.wright@berkeley.edu,2099-12-31,37,58493.28 USD,Data Science,Notes on &quot;UIUC&quot;
REC-1034,PRJ-2026-9900,Study on Archival Studies,Kristina Tailor,2018,UIUC,r.johnson@mit.edu,2099-12-31,27,63038.79 USD,Machine Learning,Cost &lt; Budget
REC-1035,PRJ-2026-1001,Proj A,Smith,2012,U.N.L.V.,jdoe@illinois.edu,2021-07-22,42,FREE,Machine Learning,Notes on &quot;UIUC&quot;
REC-1036,prj-2026-1001,Analysis of Python,Robert Johnson,2021,UIUC,smith@unlv.edu,2018-11-05,22,71002.58 USD,Cataloging,Na&iuml;ve Bayes test
REC-1037,PRJ-2026-4052,Study on Cataloging,Bryan Stewart,'15,Univ of Illinois Urbana Champaign,contact@lab.org,2016-03-12,45,-$431.00,Bioinformatics,Cost &lt; Budget
REC-1038,prj-2026-1001,Investigation into Bioinformatics and Modern Data Pipelines,Smith,2022,MIT,contact@lab.org,,40,FREE,Machine Learning,Caf&eacute; study group
REC-1039,PRJ-26-1001,Comprehensive Digital Humanities Data Archival Research Project Phase 2,Dr. Brown,2050,MIT,a.wright@berkeley.edu,2016-03-12,14,41477.1,Python,Caf&eacute; study group
REC-1040,PRJ-2026-9900,National Science Foundation Geospatial Analysis Infrastructure Project,Dr. Johnson,,University of Illinois at Urbana-Champaign,jdoe@illinois.edu,1900-01-01,18,64292.9 USD,Data Science,Caf&eacute; study group
REC-1041,,Study on Cataloging,Jeffrey Clarke,2050,"Las Vegas, University of Nevada",contact@lab.org,2025-12-01,38,94710.21 USD,GIS Mapping,Caf&eacute; study group
REC-1042,PRJ-2026-9900,Analysis of Python,Johnathan Doe,1882,Univ of Illinois Urbana Champaign,smith@unlv.edu,2021-07-22,40,-$405.00,Machine Learning,Caf&eacute; study group
REC-1043,prj-2026-1001,Analysis of Metadata,Patricia Taylor Garcia,2015,"Las Vegas, University of Nevada",smith@unlv.edu,2016-03-12,47,203616.64 USD,Data Science,Phase 1 &amp; 2 complete
REC-1044,prj-2026-1001,National Science Foundation Geospatial Analysis Infrastructure Program,Dr. Brown,c. 2005,MIT,jdoe@illinois.edu,2099-12-31,28,-$422.00,Metadata,Phase 1 &amp; 2 complete
REC-1045,PRJ-2026-9900,Analysis of Machine Learning,Alexander Wright,2021,"University of Nevada, Las Vegas",a.wright@berkeley.edu,,31,-$319.00,Data Science,Caf&eacute; study group
REC-1046,PRJ-2026-4052,Study on GIS Mapping,Stephen Miller,2005,university of illinois at urbana-champaign,contact@lab.org,2020-01-15,47,154227.38,GIS Mapping,Phase 1 &amp; 2 complete
,,,,,,,,,,Archival Studies,Sub-tag record
,,,,,,,,,,Data Science,Sub-tag record
REC-1047,prj-2026-1001,Analysis of Cataloging,Patricia Taylor-Garcia,2021,"Technology, Massachusetts Institute of",smith@unlv.edu,2020-01-15,22,-$247.00,Archival Studies,Phase 1 &amp; 2 complete
REC-1048,PRJ-2026-1001,Comprehensive Digital Humanities Data Archival Research Initiative Phase 1,Dr. Brown,1882,"University of California, Berkeley",jdoe@illinois.edu,1900-01-01,4,-$400.00,GIS Mapping,Cost &lt; Budget
REC-1049,PRJ20261001,Study on Archival Studies,Steven Miller,2005,Univ of Nevada Las Vegas,a.wright@berkeley.edu,2018-11-05,24,"$59,116.19",Python,Caf&eacute; study group
REC-1050,prj-2026-1001,Investigation into GIS Mapping and Modern Data Pipelines,m. davis,2018,"Berkeley, University of California",r.johnson@mit.edu,2025-12-01,28,"$114,652.49",Ethics,Phase 1 &amp; 2 complete
REC-1051,PRJ20261001,Proj A,m. davis,2012.0,"University of California, Berkeley",a.wright@berkeley.edu,2016-03-12,11,47113.2 USD,Archival Studies,Notes on &quot;UIUC&quot;
REC-1052,INVALID_CODE,Study on Cataloging,Jane Smith,'15,UIUC,contact@lab.org,2018-11-05,10,"$28,843.44",Metadata,Notes on &quot;UIUC&quot;
REC-1053,PRJ20261001,Investigation into Ethics and Modern Data Pipelines,Dr. Jane Mary Smith,Unknown,"Technology, Massachusetts Institute of",smith@unlv.edu,,41,FREE,GIS Mapping,Notes on &quot;UIUC&quot;
REC-1054,PRJ20261001,Investigation into Ethics and Modern Data Pipelines,Dr. Jane Mary Smith,'15,University of Illinois at Urbana-Champaign,contact@lab.org,2020-01-15,25,-$293.00,Python,Caf&eacute; study group
REC-1055,INVALID_CODE,Analysis of Cataloging,Michael O'Brown,2018,"Technology, Massachusetts Institute of",a.wright@berkeley.edu,1900-01-01,5,-$269.00,Archival Studies,Notes on &quot;UIUC&quot;
REC-1056,PRJ-2026-4052,Study on Data Science,Bryan Stewart,N/A,Univ. of Illinois (UIUC),smith@unlv.edu,2099-12-31,47,"$126,545.15",Ethics,Cost &lt; Budget
REC-1057,PRJ-2026-9900,Proj A,Dr. Jane Mary Smith,2020,Cal Berkeley,r.johnson@mit.edu,2018-11-05,43,"$155,301.92",GIS Mapping,Caf&eacute; study group
REC-1058,PRJ-2026-9900,Study on Data Science,Jayne Smyth,2012.0,"Las Vegas, University of Nevada",smith@unlv.edu,,14,"$28,139.31",Bioinformatics,Caf&eacute; study group
REC-1059,prj-2026-1001,Analysis of Metadata,Robert Johnson,Pending,"University of Nevada, Las Vegas",a.wright@berkeley.edu,2016-03-12,46,"$144,430.54",Python,Caf&eacute; study group
REC-1060,PRJ20261001,Comprehensive Digital Humanities Data Archival Research Initiative Phase 1,Dr. Brown,'15,MIT,a.wright@berkeley.edu,2018-11-05,25,80610.89,Bioinformatics,Notes on &quot;UIUC&quot;
,,,,,,,,,,GIS Mapping,Sub-tag record
,,,,,,,,,,Data Science,Sub-tag record
,,,,,,,,,,Archival Studies,Sub-tag record
REC-1061,prj-2026-1001,Study on GIS Mapping,Bryan Stewart,2012.0,"University of Nevada, Las Vegas",smith@unlv.edu,2020-01-15,44,71203.78 USD,Metadata,Phase 1 &amp; 2 complete
,,,,,,,,,,Machine Learning,Sub-tag record
,,,,,,,,,,Ethics,Sub-tag record
REC-1062,,Comprehensive Digital Humanities Data Archival Research Project Phase 2,Dr. Brown,2022,Urbana Champaign University of Illinois,r.johnson@mit.edu,,19,80600.79 USD,GIS Mapping,Cost &lt; Budget
REC-1063,INVALID_CODE,National Science Foundation Geospatial Analysis Infrastructure Program,Dr. Smith,2022,university of illinois at urbana-champaign,smith@unlv.edu,,28,-$163.00,GIS Mapping,Cost &lt; Budget
REC-1064,PRJ-26-1001,Proj A,Dr. Jane Mary Smith,2015,M.I.T.,contact@lab.org,2021-07-22,32,135301.21,Machine Learning,Phase 1 &amp; 2 complete
REC-1065,PRJ-2026-8819,Analysis of GIS Mapping,Johnathan Doe,2021,M.I.T.,contact@lab.org,1900-01-01,47,203882.35 USD,Metadata,Caf&eacute; study group
REC-1066,PRJ20261001,Investigation into Archival Studies and Modern Data Pipelines,Smith,2018,Univ of Nevada Las Vegas,smith@unlv.edu,2099-12-31,9,39985.05,Python,Notes on &quot;UIUC&quot;
REC-1067,PRJ-2026-1001,Study on Machine Learning,Kathryn Write,2020,MIT,contact@lab.org,2016-03-12,11,FREE,Cataloging,Cost &lt; Budget
,,,,,,,,,,Ethics,Sub-tag record
,,,,,,,,,,Bioinformatics,Sub-tag record
,,,,,,,,,,Machine Learning,Sub-tag record
REC-1068,PRJ-2026-8819,National Science Foundation Geospatial Analysis Infrastructure Project,Dr. Doe,Class of 2018,University of Illinois at Urbana-Champaign,smith@unlv.edu,,10,"$34,831.73",Python,Cost &lt; Budget
REC-1069,,Analysis of Metadata,Alexandr Wright,2018,Univ of Nevada Las Vegas,a.wright@berkeley.edu,2018-11-05,26,"$79,032.56",Cataloging,Phase 1 &amp; 2 complete
REC-1070,PRJ-2026-1001,Study on Ethics,Christina Taylor,Pending,"Las Vegas, University of Nevada",jdoe@illinois.edu,2099-12-31,9,26737.26 USD,Python,Caf&eacute; study group
,,,,,,,,,,Metadata,Sub-tag record
REC-1071,prj-2026-1001,Study on Ethics,Steven Miller,c2020,UNLV,contact@lab.org,2099-12-31,9,"$34,913.59",Ethics,Na&iuml;ve Bayes test
REC-1072,INVALID_CODE,Analysis of Cataloging,Robert Jhnson,c. 2005,"Technology, Massachusetts Institute of",a.wright@berkeley.edu,2018-11-05,45,FREE,Archival Studies,Cost &lt; Budget
REC-1073,PRJ-2026-8819,Study on Machine Learning,Jane Smith,2021,"Technology, Massachusetts Institute of",r.johnson@mit.edu,,38,"$121,031.91",Bioinformatics,Phase 1 &amp; 2 complete
REC-1074,PRJ20261001,Study on Python,Geoffrey Clark,2050,Univ of Illinois Urbana Champaign,smith@unlv.edu,2021-07-22,38,98901.96,Bioinformatics,Phase 1 &amp; 2 complete
REC-1075,PRJ-26-1001,Study on GIS Mapping,Bryan Stewart,2005,University of Illinois at Urbana-Champaign,r.johnson@mit.edu,2025-12-01,12,38387.56 USD,Data Science,Phase 1 &amp; 2 complete
,,,,,,,,,,Machine Learning,Sub-tag record
,,,,,,,,,,Python,Sub-tag record
,,,,,,,,,,GIS Mapping,Sub-tag record
REC-1076,PRJ-2026-4052,Analysis of Python,Robert Jhnson,2012.0,UIUC,r.johnson@mit.edu,2016-03-12,42,"$69,270.07",Bioinformatics,Notes on &quot;UIUC&quot;
REC-1077,PRJ-26-1001,Investigation into Archival Studies and Modern Data Pipelines,A. PROF. WILSON,1998,Univ of Nevada Las Vegas,jdoe@illinois.edu,1900-01-01,46,-$441.00,Cataloging,Phase 1 &amp; 2 complete
REC-1078,prj-2026-1001,Proj A,A. PROF. WILSON,'15,Urbana Champaign University of Illinois,smith@unlv.edu,2023-09-30,34,FREE,Ethics,Cost &lt; Budget
REC-1079,INVALID_CODE,Analysis of Python,Alexander Wright,c2020,university of illinois at urbana-champaign,jdoe@illinois.edu,2016-03-12,23,-$307.00,Bioinformatics,Caf&eacute; study group
REC-1080,PRJ20261001,National Science Foundation Geospatial Analysis Infrastructure Program,Dr. Smith,c. 2005,University of Illinois at Urbana-Champaign,contact@lab.org,2025-12-01,9,-$305.00,Bioinformatics,Phase 1 &amp; 2 complete
REC-1081,,Comprehensive Digital Humanities Data Archival Research Project Phase 2,Dr. Johnson,2005,UNLV,jdoe@illinois.edu,,25,FREE,Metadata,Notes on &quot;UIUC&quot;
REC-1082,PRJ-2026-8819,Comprehensive Digital Humanities Data Archival Research Project Phase 2,Dr. Doe,2022,Cal Berkeley,jdoe@illinois.edu,2099-12-31,40,-$429.00,Python,Caf&eacute; study group
REC-1083,prj-2026-1001,National Science Foundation Geospatial Analysis Infrastructure Program,Dr. Doe,Unknown,university of illinois at urbana-champaign,r.johnson@mit.edu,2016-03-12,22,"$63,475.00",Machine Learning,Cost &lt; Budget
,,,,,,,,,,Ethics,Sub-tag record
,,,,,,,,,,GIS Mapping,Sub-tag record
REC-1084,PRJ20261001,Proj A,m. davis,2050,MIT,r.johnson@mit.edu,,31,56125.67,Machine Learning,Notes on &quot;UIUC&quot;
REC-1085,PRJ-26-1001,Analysis of Archival Studies,Johnathan Doee,,MIT,smith@unlv.edu,2025-12-01,24,"$84,880.64",Python,Cost &lt; Budget
REC-1086,PRJ-2026-8819,Study on Bioinformatics,Jeffrey Clarke,Class of 2018,"Las Vegas, University of Nevada",contact@lab.org,2025-12-01,12,51002.87,Bioinformatics,Phase 1 &amp; 2 complete
REC-1087,PRJ-2026-8819,Analysis of Machine Learning,Alexander Wright,1882,"Las Vegas, University of Nevada",r.johnson@mit.edu,,30,"$90,763.96",Metadata,Phase 1 &amp; 2 complete
REC-1088,PRJ-2026-4052,Analysis of Archival Studies,Patricia Taylor-Garcia,2012,Urbana Champaign University of Illinois,smith@unlv.edu,2023-09-30,37,-$119.00,Metadata,Phase 1 &amp; 2 complete
REC-1089,INVALID_CODE,Proj A,Jane Smith,2005,Cal Berkeley,jdoe@illinois.edu,2025-12-01,42,98900.92 USD,Cataloging,Notes on &quot;UIUC&quot;
REC-1090,prj-2026-1001,Comprehensive Digital Humanities Data Archival Research Project Phase 2,Dr. Brown,2050,U.N.L.V.,a.wright@berkeley.edu,1900-01-01,13,-$170.00,Data Science,Na&iuml;ve Bayes test
REC-1091,prj-2026-1001,Proj A,Dr. Jane Mary Smith,2021,"University of California, Berkeley",smith@unlv.edu,2099-12-31,30,FREE,Python,Na&iuml;ve Bayes test
REC-1092,PRJ-26-1001,Study on Ethics,Kathryn Write,2012,U.N.L.V.,jdoe@illinois.edu,2021-07-22,9,36157.76,Metadata,Phase 1 &amp; 2 complete
REC-1093,PRJ-2026-4052,Study on Archival Studies,Geoffrey Clark,Unknown,Univ. of Illinois (UIUC),jdoe@illinois.edu,2016-03-12,12,-$370.00,GIS Mapping,Cost &lt; Budget
REC-1094,,Analysis of Cataloging,Patricia Taylor Garcia,Pending,"Technology, Massachusetts Institute of",a.wright@berkeley.edu,2016-03-12,48,92675.06 USD,Cataloging,Na&iuml;ve Bayes test
,,,,,,,,,,Bioinformatics,Sub-tag record
,,,,,,,,,,Machine Learning,Sub-tag record
REC-1095,,Study on Machine Learning,Bryan Stewart,1882,"University of California, Berkeley",contact@lab.org,2016-03-12,5,17035.06,Data Science,Caf&eacute; study group
REC-1096,PRJ-2026-8819,Comprehensive Digital Humanities Data Archival Research Initiative Phase 1,Dr. Smith,2021,"University of Nevada, Las Vegas",r.johnson@mit.edu,2016-03-12,44,89111.76 USD,Archival Studies,Cost &lt; Budget
REC-1097,PRJ-2026-1001,Analysis of Archival Studies,Michael OBrown,'15,"Urbana-Champaign, University of Illinois",smith@unlv.edu,2025-12-01,37,"$108,047.37",Cataloging,Cost &lt; Budget
REC-1098,INVALID_CODE,Comprehensive Digital Humanities Data Archival Research Project Phase 1,Dr. Johnson,Class of 2018,UNLV,r.johnson@mit.edu,1900-01-01,27,FREE,Archival Studies,Caf&eacute; study group
REC-1099,,Comprehensive Digital Humanities Data Archival Research Project Phase 1,Dr. Johnson,2020,"Technology, Massachusetts Institute of",smith@unlv.edu,2023-09-30,23,80103.43,Bioinformatics,Cost &lt; Budget
REC-1100,PRJ-2026-4052,Analysis of Data Science,Robert Jhnson,N/A,U.N.L.V.,jdoe@illinois.edu,1900-01-01,46,"$91,078.17",Archival Studies,Cost &lt; Budget
REC-1101,PRJ-2026-8819,Study on Python,Steven Miller,c2020,U.N.L.V.,jdoe@illinois.edu,2099-12-31,7,-$287.00,GIS Mapping,Cost &lt; Budget
REC-1102,PRJ-2026-4052,Analysis of Metadata,Johnathan Doee,,M.I.T.,contact@lab.org,2023-09-30,16,71825.53,Archival Studies,Cost &lt; Budget
REC-1103,PRJ-2026-4052,Analysis of Machine Learning,Johnathan Doee,2005,MIT,a.wright@berkeley.edu,2025-12-01,38,118807.54,Metadata,Cost &lt; Budget
REC-1104,PRJ-2026-1001,Comprehensive Digital Humanities Data Archival Research Project Phase 1,Dr. Doe,2022,Urbana Champaign University of Illinois,a.wright@berkeley.edu,2025-12-01,32,-$166.00,Machine Learning,Na&iuml;ve Bayes test
REC-1105,PRJ-2026-4052,Study on Archival Studies,Jeffrey Clarke,N/A,"University of California, Berkeley",contact@lab.org,2020-01-15,31,-$276.00,Ethics,Cost &lt; Budget
REC-1106,PRJ-2026-8819,Analysis of Data Science,Michael OBrown,,Univ of Illinois Urbana Champaign,smith@unlv.edu,2025-12-01,36,"$150,652.00",Ethics,Notes on &quot;UIUC&quot;
REC-1107,PRJ-2026-8819,Comprehensive Digital Humanities Data Archival Research Initiative Phase 1,Dr. Doe,1882,Cal Berkeley,smith@unlv.edu,2020-01-15,41,-$121.00,Data Science,Na&iuml;ve Bayes test
REC-1108,PRJ20261001,Study on GIS Mapping,Jane Smith,2050,Urbana Champaign University of Illinois,jdoe@illinois.edu,,22,64874.36 USD,Machine Learning,Cost &lt; Budget
REC-1109,PRJ-26-1001,Study on Archival Studies,Steven Miller,1998,MIT,smith@unlv.edu,2025-12-01,11,-$387.00,Cataloging,Cost &lt; Budget
REC-1110,INVALID_CODE,Investigation into GIS Mapping and Modern Data Pipelines,Smith,2022,"University of Nevada, Las Vegas",r.johnson@mit.edu,1900-01-01,13,-$469.00,Metadata,Notes on &quot;UIUC&quot;
REC-1111,INVALID_CODE,Investigation into Archival Studies and Modern Data Pipelines,A. PROF. WILSON,Unknown,"Las Vegas, University of Nevada",duplicate.user@research.org,,16,"$52,000.52",Archival Studies,Caf&eacute; study group
,,,,,,,,,,GIS Mapping,Sub-tag record
,,,,,,,,,,Ethics,Sub-tag record
REC-1112,PRJ-2026-1001,Study on GIS Mapping,Jayne Smyth,c2020,U.N.L.V.,a.wright@berkeley.edu,,21,-$330.00,GIS Mapping,Notes on &quot;UIUC&quot;
REC-1113,PRJ-2026-8819,Study on Bioinformatics,Stephen Miller,c. 2005,U.N.L.V.,r.johnson@mit.edu,2021-07-22,35,"$56,726.77",Python,Na&iuml;ve Bayes test
REC-1114,PRJ-26-1001,Proj A,A. PROF. WILSON,,Cal Berkeley,contact@lab.org,2020-01-15,22,-$360.00,GIS Mapping,Caf&eacute; study group
REC-1115,PRJ20261001,Investigation into Python and Modern Data Pipelines,Smith,N/A,Univ of Illinois Urbana Champaign,jdoe@illinois.edu,2023-09-30,6,FREE,Bioinformatics,Na&iuml;ve Bayes test
REC-1116,PRJ-2026-8819,Analysis of Machine Learning,Michael OBrown,2015,Urbana Champaign University of Illinois,a.wright@berkeley.edu,1900-01-01,42,"$178,985.64",Ethics,Notes on &quot;UIUC&quot;
REC-1117,PRJ20261001,Analysis of Archival Studies,Alexandr Wright,c2020,"University of California, Berkeley",smith@unlv.edu,,46,175534.59,Cataloging,Cost &lt; Budget
REC-1118,PRJ-26-1001,Analysis of Cataloging,Patricia Taylor-Garcia,'15,"Las Vegas, University of Nevada",a.wright@berkeley.edu,2099-12-31,20,-$446.00,Bioinformatics,Cost &lt; Budget
REC-1119,PRJ-26-1001,Comprehensive Digital Humanities Data Archival Research Initiative Phase 1,Dr. Doe,'15,"Urbana-Champaign, University of Illinois",jdoe@illinois.edu,2099-12-31,16,-$238.00,GIS Mapping,Cost &lt; Budget
REC-1120,PRJ-2026-9900,Analysis of Cataloging,Johnathan Doe,2018,"University of Nevada, Las Vegas",contact@lab.org,2021-07-22,24,"$87,649.78",Metadata,Phase 1 &amp; 2 complete
REC-1121,prj-2026-1001,Study on Metadata,Bryan Stewart,Unknown,"Technology, Massachusetts Institute of",smith@unlv.edu,2025-12-01,8,FREE,Data Science,Cost &lt; Budget
REC-1122,prj-2026-1001,Analysis of Metadata,Robert Johnson,c2020,"Urbana-Champaign, University of Illinois",smith@unlv.edu,2016-03-12,41,74697.98,Ethics,Phase 1 &amp; 2 complete
REC-1123,PRJ-2026-8819,Investigation into Ethics and Modern Data Pipelines,Jane Smith,1998,Univ of Nevada Las Vegas,r.johnson@mit.edu,2099-12-31,3,11129.56,Cataloging,Cost &lt; Budget
REC-1124,PRJ-2026-4052,Analysis of Bioinformatics,Alexander Wright,,"Technology, Massachusetts Institute of",a.wright@berkeley.edu,2020-01-15,18,27368.83 USD,GIS Mapping,Notes on &quot;UIUC&quot;
REC-1125,PRJ-2026-9900,National Science Foundation Geospatial Analysis Infrastructure Project,Dr. Johnson,2015,UC Berkeley,r.johnson@mit.edu,2016-03-12,13,-$460.00,Machine Learning,Phase 1 &amp; 2 complete
REC-1126,PRJ-2026-8819,National Science Foundation Geospatial Analysis Infrastructure Project,Dr. Johnson,2012,"University of Nevada, Las Vegas",a.wright@berkeley.edu,2099-12-31,47,147942.07 USD,Cataloging,Na&iuml;ve Bayes test
REC-1127,PRJ-2026-4052,Analysis of Machine Learning,Alexander Wright,Pending,"University of California, Berkeley",r.johnson@mit.edu,2018-11-05,35,-$176.00,Ethics,Phase 1 &amp; 2 complete
REC-1128,PRJ20261001,Investigation into Cataloging and Modern Data Pipelines,Smith,,university of illinois at urbana-champaign,jdoe@illinois.edu,2020-01-15,39,65255.2 USD,GIS Mapping,Na&iuml;ve Bayes test
REC-1129,PRJ-26-1001,Study on Data Science,Kathryn Write,2050,Urbana Champaign University of Illinois,a.wright@berkeley.edu,2018-11-05,7,31208.88 USD,Metadata,Na&iuml;ve Bayes test
,,,,,,,,,,Ethics,Sub-tag record
,,,,,,,,,,Bioinformatics,Sub-tag record
REC-1130,PRJ-2026-8819,Investigation into Bioinformatics and Modern Data Pipelines,Dr. Jane Mary Smith,c2020,Massachusetts Institute of Technology,contact@lab.org,2025-12-01,37,FREE,Cataloging,Phase 1 &amp; 2 complete
